Angle,CC,CHIRP
0,2.727,16.2536
1,2.6028,22.8139
2,4.819,23.4606
3,10.7808,25.5107
4,8.2918,24.2687
5,5.9291,22.3258
6,7.1497,23.6466
7,6.4336,21.9909
8,5.1615,19.6773
9,5.3343,19.5017
10,4.7076,20.3208
11,3.8662,20.1422
12,5.3964,21.0836
13,7.6018,22.0049
14,8.1833,23.1785
15,9.5776,22.8234
16,11.0083,21.8617
17,12.025,20.9754
18,8.1292,20.8446
19,8.5714,21.3709
20,8.2812,19.4772
21,8.948,19.4237
22,5.0425,20.5935
23,7.0271,20.9967
24,8.906,20.803
25,5.7872,20.0139
26,5.7899,22.0553
27,7.1441,21.8047
28,7.9089,21.2047
29,7.9604,23.2099
30,6.0192,22.283
31,5.3807,23.2448
32,7.1048,23.0038
33,9.4066,24.816
34,11.7022,23.906
35,12.1643,26.2009
36,12.9092,27.7128
37,12.8974,25.8475
38,11.5301,27.801
39,11.9573,28.0531
40,13.4608,29.5375
41,12.5784,30.6511
42,12.4029,31.6567
43,14.253,32.3839
44,15.7115,32.3288
45,15.58,31.9095
46,15.2932,30.3487
47,15.3691,31.7758
48,14.8959,32.812
49,18.0068,32.028
50,14.3504,31.8132
51,17.8769,32.041
52,15.3616,31.4443
53,14.862,30.6654
54,13.8759,29.9913
55,13.9724,30.3504
56,12.7457,29.7117
57,13.8617,30.9669
58,14.7159,29.649
59,14.5525,29.1394
60,14.3001,29.8179
61,13.3154,28.0281
62,13.962,29.2463
63,13.6035,29.1917
64,13.2049,27.7768
65,12.451,28.5744
66,13.1951,29.4856
67,16.8469,30.0378
68,15.3039,30.5899
69,14.7328,29.1666
70,13.2031,28.8751
71,12.4649,29.2232
72,12.8739,29.1643
73,12.8412,28.8457
74,13.191,27.1303
75,10.9509,26.2537
76,11.4512,25.6226
77,11.9334,25.3661
78,11.1633,24.6254
79,13.031,24.7852
80,12.252,24.323
81,8.8612,23.8083
82,6.8959,23.8998
83,8.6031,24.6484
84,9.6287,25.8444
85,11.3656,26.9091
86,12.177,26.9545
87,11.6502,27.1773
88,11.7488,27.4688
89,10.8555,29.664
90,9.9393,28.56
91,9.9083,26.6001
92,8.2004,24.6686
93,7.6954,25.0334
94,8.8637,26.4538
95,15.4152,28.5111
96,21.2378,27.0875
97,19.6896,28.7041
98,19.6254,27.1053
99,15.8895,26.9595
100,14.5792,26.2282
101,18.7801,27.7864
102,14.8191,27.0251
103,17.5231,28.1537
104,14.2405,27.8292
105,13.934,27.773
106,17.1373,28.7786
107,17.5038,28.1421
108,16.2964,29.5491
109,16.0121,28.4342
110,16.379,28.6032
111,17.285,27.9073
112,14.8154,27.6779
113,14.3581,28.4038
114,16.4671,27.6846
115,18.1858,27.9307
116,19.6427,27.169
117,17.9683,26.2146
118,14.8046,24.2733
119,13.8917,21.9085
120,12.161,22.4023
121,9.2146,21.8855
122,9.7659,22.0303
123,10.1873,22.7691
124,13.3207,21.8282
125,12.0302,20.4652
126,8.1312,20.4052
127,7.9035,20.6607
128,7.6883,19.4958
129,6.1681,19.17
130,5.5204,19.0248
131,4.1167,19.9196
132,6.6836,18.3053
133,3.9589,16.909
134,4.5151,17.437
135,3.4479,15.4051
136,3.1367,14.4397
137,4.1783,14.6634
138,4.8023,14.4146
139,4.1375,14.4676
140,3.9934,14.3319
141,3.2308,16.1168
142,5.3039,17.3811
143,6.6028,17.0324
144,5.859,15.8759
145,5.2905,14.7016
146,4.7302,14.2058
